Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
The Next Episode,Dr. Dre Featuring Snoop Dogg,78.0,78.0,-,1.0,2000.0,5.0,27.0
Wifey,Next,85.0,85.0,-,1.0,2000.0,5.0,27.0
What'Chu Like,Da Brat Featuring Tyrese,71.0,71.0,-,1.0,2000.0,6.0,3.0
3 Little Words,Nu Flavor,97.0,97.0,-,1.0,2000.0,6.0,3.0
I Think God Can Explain,Splender,71.0,71.0,-,1.0,2000.0,6.0,10.0
Whatever,Ideal Featuring Lil' Mo,75.0,75.0,-,1.0,2000.0,6.0,10.0
No Me Dejes De Querer,Gloria Estefan,77.0,77.0,-,1.0,2000.0,6.0,10.0
What About Now,Lonestar,78.0,78.0,-,1.0,2000.0,6.0,10.0
I Will Love Again,Lara Fabian,91.0,91.0,-,1.0,2000.0,6.0,10.0
You'll Always Be Loved By Me,Brooks & Dunn,95.0,95.0,-,1.0,2000.0,6.0,10.0
When You Need My Love,Darryl Worley,98.0,98.0,-,1.0,2000.0,6.0,10.0
Doesn't Really Matter,Janet,59.0,59.0,-,1.0,2000.0,6.0,17.0
I Wanna Be With You,Mandy Moore,69.0,69.0,-,1.0,2000.0,6.0,17.0
"Same Script, Different Cast",Whitney Houston & Deborah Cox,71.0,71.0,-,1.0,2000.0,6.0,17.0
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,74.0,74.0,-,1.0,2000.0,6.0,17.0
One Voice,Billy Gilman,86.0,86.0,-,1.0,2000.0,6.0,17.0
Riddle,En Vogue,92.0,92.0,-,1.0,2000.0,6.0,17.0
Crybaby,Mariah Carey Featuring Snoop Dogg,28.0,28.0,-,1.0,2000.0,6.0,24.0
It Must Be Love,Alan Jackson,76.0,76.0,-,1.0,2000.0,6.0,24.0
Incomplete,Sisqo,77.0,77.0,-,1.0,2000.0,6.0,24.0
That's The Way,Jo Dee Messina,78.0,78.0,-,1.0,2000.0,6.0,24.0
Taking You Home,Don Henley,79.0,79.0,-,1.0,2000.0,6.0,24.0
Cold Day In July,Dixie Chicks,80.0,80.0,-,1.0,2000.0,6.0,24.0
Take That,Torrey Carter Featuring Missy &quot;Misdemeanor&quot; Elliott,94.0,94.0,-,1.0,2000.0,6.0,24.0
Simple Kind Of Life,No Doubt,50.0,50.0,-,1.0,2000.0,7.0,1.0
I Think I'm In Love With You,Jessica Simpson,63.0,63.0,-,1.0,2000.0,7.0,1.0
No More,Ruff Endz,76.0,76.0,-,1.0,2000.0,7.0,1.0
What You Want,DMX Featuring Sisqo,98.0,98.0,-,1.0,2000.0,7.0,1.0
Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,99.0,99.0,-,1.0,2000.0,7.0,1.0
Wonderful,Everclear,77.0,77.0,-,1.0,2000.0,7.0,8.0
Sour Girl,Stone Temple Pilots,79.0,79.0,-,1.0,2000.0,7.0,8.0
Faded,SoulDecision Featuring Thrust,94.0,94.0,-,1.0,2000.0,7.0,8.0
Dancing Queen,A*Teens,97.0,97.0,-,1.0,2000.0,7.0,8.0
Don't Call Me Baby,Madison Avenue,98.0,98.0,-,1.0,2000.0,7.0,8.0
Change Your Mind,Sister Hazel,75.0,75.0,-,1.0,2000.0,7.0,15.0
I Will...But,SHeDAISY,78.0,78.0,-,1.0,2000.0,7.0,15.0
No Matter What They Say,Lil' Kim,80.0,80.0,-,1.0,2000.0,7.0,15.0
Your Everything,Keith Urban,81.0,81.0,-,1.0,2000.0,7.0,15.0
As We Lay,Kelly Price,82.0,82.0,-,1.0,2000.0,7.0,15.0
Got It All,Eve & Jadakiss,89.0,89.0,-,1.0,2000.0,7.0,15.0
Who Let The Dogs Out,Baha Men,99.0,99.0,-,1.0,2000.0,7.0,22.0
Californication,Red Hot Chili Peppers,72.0,72.0,-,1.0,2000.0,7.0,29.0
Last Resort,Papa Roach,75.0,75.0,-,1.0,2000.0,7.0,29.0
Just Be A Man About It,Toni Braxton,76.0,76.0,-,1.0,2000.0,7.0,29.0
Callin' Me,Lil' Zane Featuring 112,83.0,83.0,-,1.0,2000.0,7.0,29.0
Dance With Me,Debelah Morgan,91.0,91.0,-,1.0,2000.0,7.0,29.0
Come On Over Baby (All I Want Is You),Christina Aguilera,57.0,57.0,-,1.0,2000.0,8.0,5.0
Don't Think I'm Not,Kandi,66.0,66.0,-,1.0,2000.0,8.0,5.0
The Light,Common,75.0,75.0,-,1.0,2000.0,8.0,5.0
Treat Her Like A Lady,Joe,77.0,77.0,-,1.0,2000.0,8.0,5.0
Country Comes To Town,Toby Keith,82.0,82.0,-,1.0,2000.0,8.0,5.0
West Side Story,LFO,96.0,96.0,-,1.0,2000.0,8.0,5.0
Cherchez LaGhost,Ghostface Killah,98.0,98.0,-,1.0,2000.0,8.0,5.0
Music,Madonna,41.0,41.0,-,1.0,2000.0,8.0,12.0
Lucky,Britney Spears,61.0,61.0,-,1.0,2000.0,8.0,12.0
It's My Life,Bon Jovi,64.0,64.0,-,1.0,2000.0,8.0,12.0
It's Always Somethin',Joe Diffie,81.0,81.0,-,1.0,2000.0,8.0,12.0
Let's Make Love,Faith Hill With Tim McGraw,83.0,83.0,-,1.0,2000.0,8.0,12.0
Most Girls,P!nk,85.0,85.0,-,1.0,2000.0,8.0,12.0
Shake Ya Ass,Mystikal,97.0,97.0,-,1.0,2000.0,8.0,12.0
Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,98.0,98.0,-,1.0,2000.0,8.0,12.0
Imagine That,LL Cool J,99.0,99.0,-,1.0,2000.0,8.0,12.0
